"Name","Type","Level","Evolves_to","Evolves_from","Name_type","Times_appeared","Final_stage"
"Abra","Psychic","Basic","Kadabra",NA,"Abra_Psychic",1,"Not final evolution"
"Absol","Darkness","Basic",NA,NA,"Absol_Darkness",1,"Final evolution"
"Aipom","Colorless","Basic","Ambipom",NA,"Aipom_Colorless",1,"Not final evolution"
"Alolan Geodude","Lightning","Basic","Graveler",NA,"Alolan Geodude_Lightning",1,"Not final evolution"
"Alolan Rattata","Darkness","Basic","Raticate",NA,"Alolan Rattata_Darkness",1,"Not final evolution"
"Alolan Grimer","Darkness","Basic","Muk",NA,"Alolan Grimer_Darkness",1,"Not final evolution"
"Alomomola","Water","Basic",NA,NA,"Alomomola_Water",1,"Final evolution"
"Applin","Grass","Basic","Flapple",NA,"Applin_Grass",1,"Not final evolution"
"Aron","Metal","Basic","Lairon",NA,"Aron_Metal",1,"Not final evolution"
"Audino","Colorless","Basic",NA,NA,"Audino_Colorless",1,"Final evolution"
"Bagon","Dragon","Basic","Shelgon",NA,"Bagon_Dragon",1,"Not final evolution"
"Baltoy","Psychic","Basic","Claydol",NA,"Baltoy_Psychic",1,"Not final evolution"
"Barboach","Water","Basic","Whiscash",NA,"Barboach_Water",1,"Not final evolution"
"Beldum","Metal","Basic","Metang",NA,"Beldum_Metal",1,"Not final evolution"
"Bellsprout","Grass","Basic","Weepinbell",NA,"Bellsprout_Grass",1,"Not final evolution"
"Bergmite","Water","Basic","Avalugg",NA,"Bergmite_Water",1,"Not final evolution"
"Bidoof","Colorless","Basic","Bibarel",NA,"Bidoof_Colorless",1,"Not final evolution"
"Blitzle","Lightning","Basic","Zebstrika",NA,"Blitzle_Lightning",1,"Not final evolution"
"Bombirdier","Darkness","Basic",NA,NA,"Bombirdier_Darkness",1,"Final evolution"
"Bounsweet","Grass","Basic","Steenee",NA,"Bounsweet_Grass",1,"Not final evolution"
"Bramblin","Grass","Basic",NA,NA,"Bramblin_Grass",1,"Final evolution"
"Bronzor","Metal","Basic","Bronzong",NA,"Bronzor_Metal",1,"Not final evolution"
"Bronzor","Psychic","Basic","Bronzong",NA,"Bronzor_Psychic",1,"Not final evolution"
"Bruxish","Water","Basic",NA,NA,"Bruxish_Water",1,"Final evolution"
"Buizel","Water","Basic","Floatzel",NA,"Buizel_Water",2,"Not final evolution"
"Bulbasaur","Grass","Basic","Ivysaur",NA,"Bulbasaur_Grass",2,"Not final evolution"
"Buneary","Colorless","Basic","Lopunny",NA,"Buneary_Colorless",1,"Not final evolution"
"Bunnelby","Colorless","Basic","Diggersby",NA,"Bunnelby_Colorless",1,"Not final evolution"
"Cacnea","Grass","Basic","Cacturne",NA,"Cacnea_Grass",2,"Not final evolution"
"Capsakid","Grass","Basic","Scovillain",NA,"Capsakid_Grass",2,"Not final evolution"
"Carnivine","Grass","Basic",NA,NA,"Carnivine_Grass",1,"Final evolution"
"Carvanha","Water","Basic","Sharpedo",NA,"Carvanha_Water",1,"Not final evolution"
"Cascoon","Grass","Stage 1","Dustox","Wurmple","Cascoon_Grass",1,"Not final evolution"
"Castform Rainy Form","Water","Basic",NA,NA,"Castform Rainy Form_Water",1,"Final evolution"
"Caterpie","Grass","Basic","Metapod",NA,"Caterpie_Grass",1,"Not final evolution"
"Celebi","Grass","Basic",NA,NA,"Celebi_Grass",1,"Final evolution"
"Cetoddle","Water","Basic",NA,NA,"Cetoddle_Water",1,"Final evolution"
"Chansey","Colorless","Basic","Blissey",NA,"Chansey_Colorless",2,"Not final evolution"
"Charcadet","Fire","Basic",NA,NA,"Charcadet_Fire",1,"Final evolution"
"Charmander","Fire","Basic","Charmeleon",NA,"Charmander_Fire",2,"Not final evolution"
"Chatot","Colorless","Basic",NA,NA,"Chatot_Colorless",1,"Final evolution"
"Cherubi","Grass","Basic","Cherrim",NA,"Cherubi_Grass",1,"Not final evolution"
"Chewtle","Water","Basic","Drednaw",NA,"Chewtle_Water",1,"Not final evolution"
"Chimchar","Fire","Basic","Monferno",NA,"Chimchar_Fire",1,"Not final evolution"
"Chimecho","Psychic","Basic",NA,NA,"Chimecho_Psychic",1,"Final evolution"
"Chinchou","Lightning","Basic","Lanturn",NA,"Chinchou_Lightning",1,"Not final evolution"
"Clauncher","Water","Basic","Clawitzer",NA,"Clauncher_Water",2,"Not final evolution"
"Clefairy","Fairy","Basic","Clefable",NA,"Clefairy_Fairy",1,"Not final evolution"
"Clefairy","Psychic","Basic","Clefable",NA,"Clefairy_Psychic",1,"Not final evolution"
"Cleffa","Psychic","Basic","Clefairy",NA,"Cleffa_Psychic",2,"Not final evolution"
"Combee","Grass","Basic","Vespiquen",NA,"Combee_Grass",2,"Not final evolution"
"Comfey","Psychic","Basic",NA,NA,"Comfey_Psychic",1,"Final evolution"
"Corphish","Water","Basic","Crawdaunt",NA,"Corphish_Water",1,"Not final evolution"
"Cosmog","Psychic","Basic","Cosmoem",NA,"Cosmog_Psychic",1,"Not final evolution"
"Cottonee","Grass","Basic","Whimsicott",NA,"Cottonee_Grass",1,"Not final evolution"
