"Name","Type","Stage","Quantity","Name_type","Evolves_to","Evolves_from","Final_stage"
"Abra","Psychic","Basic",3,"Abra_Psychic","Kadabra",NA,"Not final evolution"
"Absol","Darkness","Basic",4,"Absol_Darkness",NA,NA,"Final evolution"
"Aipom","Colorless","Basic",1,"Aipom_Colorless","Ambipom",NA,"Not final evolution"
"Alolan Geodude","Lightning","Basic",2,"Alolan Geodude_Lightning","Graveler",NA,"Not final evolution"
"Alolan Grimer","Darkness","Basic",1,"Alolan Grimer_Darkness","Muk",NA,"Not final evolution"
"Alolan Rattata","Darkness","Basic",1,"Alolan Rattata_Darkness","Raticate",NA,"Not final evolution"
"Alomomola","Water","Basic",1,"Alomomola_Water",NA,NA,"Final evolution"
"Applin","Grass","Basic",1,"Applin_Grass","Flapple",NA,"Not final evolution"
"Aron","Metal","Basic",3,"Aron_Metal","Lairon",NA,"Not final evolution"
"Audino","Colorless","Basic",1,"Audino_Colorless",NA,NA,"Final evolution"
"Bagon","Dragon","Basic",2,"Bagon_Dragon","Shelgon",NA,"Not final evolution"
"Baltoy","Psychic","Basic",2,"Baltoy_Psychic","Claydol",NA,"Not final evolution"
"Baltoy","Fighting","Basic",3,"Baltoy_Fighting","Claydol",NA,"Not final evolution"
"Barboach","Water","Basic",1,"Barboach_Water","Whiscash",NA,"Not final evolution"
"Barboach","Fighting","Basic",1,"Barboach_Fighting","Whiscash",NA,"Not final evolution"
"Beldum","Metal","Basic",4,"Beldum_Metal","Metang",NA,"Not final evolution"
"Bellsprout","Grass","Basic",1,"Bellsprout_Grass","Weepinbell",NA,"Not final evolution"
"Bergmite","Water","Basic",2,"Bergmite_Water","Avalugg",NA,"Not final evolution"
"Bidoof","Colorless","Basic",1,"Bidoof_Colorless","Bibarel",NA,"Not final evolution"
"Blitzle","Lightning","Basic",7,"Blitzle_Lightning","Zebstrika",NA,"Not final evolution"
"Bombirdier","Darkness","Basic",2,"Bombirdier_Darkness",NA,NA,"Final evolution"
"Bounsweet","Grass","Basic",7,"Bounsweet_Grass","Steenee",NA,"Not final evolution"
"Bramblin","Grass","Basic",2,"Bramblin_Grass",NA,NA,"Final evolution"
"Bronzor","Psychic","Basic",2,"Bronzor_Psychic","Bronzong",NA,"Not final evolution"
"Bronzor","Metal","Basic",1,"Bronzor_Metal","Bronzong",NA,"Not final evolution"
"Bruxish","Water","Basic",2,"Bruxish_Water",NA,NA,"Final evolution"
"Buizel","Water","Basic",2,"Buizel_Water","Floatzel",NA,"Not final evolution"
"Bulbasaur","Grass","Basic",2,"Bulbasaur_Grass","Ivysaur",NA,"Not final evolution"
"Buneary","Colorless","Basic",4,"Buneary_Colorless","Lopunny",NA,"Not final evolution"
"Bunnelby","Colorless","Basic",1,"Bunnelby_Colorless","Diggersby",NA,"Not final evolution"
"Cacnea","Grass","Basic",1,"Cacnea_Grass","Cacturne",NA,"Not final evolution"
"Capsakid","Grass","Basic",1,"Capsakid_Grass","Scovillain",NA,"Not final evolution"
"Carnivine","Grass","Basic",1,"Carnivine_Grass",NA,NA,"Final evolution"
"Carvanha","Water","Basic",2,"Carvanha_Water","Sharpedo",NA,"Not final evolution"
"Castform Rainy Form","Water","Basic",1,"Castform Rainy Form_Water",NA,NA,"Final evolution"
"Caterpie","Grass","Basic",2,"Caterpie_Grass","Metapod",NA,"Not final evolution"
"Celebi","Grass","Basic",1,"Celebi_Grass",NA,NA,"Final evolution"
"Cetoddle","Water","Basic",2,"Cetoddle_Water",NA,NA,"Final evolution"
"Chansey","Colorless","Basic",1,"Chansey_Colorless","Blissey",NA,"Not final evolution"
"Charcadet","Fire","Basic",5,"Charcadet_Fire",NA,NA,"Final evolution"
"Charmander","Fire","Basic",3,"Charmander_Fire","Charmeleon",NA,"Not final evolution"
"Chatot","Colorless","Basic",1,"Chatot_Colorless",NA,NA,"Final evolution"
"Cherubi","Grass","Basic",1,"Cherubi_Grass","Cherrim",NA,"Not final evolution"
"Chewtle","Water","Basic",3,"Chewtle_Water","Drednaw",NA,"Not final evolution"
"Chimchar","Fire","Basic",1,"Chimchar_Fire","Monferno",NA,"Not final evolution"
"Chimecho","Psychic","Basic",5,"Chimecho_Psychic",NA,NA,"Final evolution"
"Chinchou","Lightning","Basic",4,"Chinchou_Lightning","Lanturn",NA,"Not final evolution"
"Clauncher","Water","Basic",2,"Clauncher_Water","Clawitzer",NA,"Not final evolution"
"Clefairy","Fairy","Basic",1,"Clefairy_Fairy","Clefable",NA,"Not final evolution"
"Clefairy","Psychic","Basic",5,"Clefairy_Psychic","Clefable",NA,"Not final evolution"
"Cleffa","Psychic","Basic",1,"Cleffa_Psychic","Clefairy",NA,"Not final evolution"
"Clobbopus","Fighting","Basic",1,"Clobbopus_Fighting","Grapploct",NA,"Not final evolution"
"Combee","Grass","Basic",4,"Combee_Grass","Vespiquen",NA,"Not final evolution"
"Comfey","Psychic","Basic",1,"Comfey_Psychic",NA,NA,"Final evolution"
"Corphish","Water","Basic",3,"Corphish_Water","Crawdaunt",NA,"Not final evolution"
"Cosmog","Psychic","Basic",1,"Cosmog_Psychic","Cosmoem",NA,"Not final evolution"
"Cottonee","Fairy","Basic",1,"Cottonee_Fairy","Whimsicott",NA,"Not final evolution"
"Cottonee","Grass","Basic",1,"Cottonee_Grass","Whimsicott",NA,"Not final evolution"
"Crabrawler","Fighting","Basic",2,"Crabrawler_Fighting","Crabominable",NA,"Not final evolution"
"Cramorant","Water","Basic",1,"Cramorant_Water",NA,NA,"Final evolution"
"Croagunk","Darkness","Basic",5,"Croagunk_Darkness","Toxicroak",NA,"Not final evolution"
"Cryogonal","Water","Basic",2,"Cryogonal_Water",NA,NA,"Final evolution"
"Cubchoo","Water","Basic",1,"Cubchoo_Water","Beartic",NA,"Not final evolution"
"Cubone","Fighting","Basic",1,"Cubone_Fighting","Marowak",NA,"Not final evolution"
"Cufant","Metal","Basic",4,"Cufant_Metal","Copperajah",NA,"Not final evolution"
"Cutiefly","Psychic","Basic",1,"Cutiefly_Psychic","Ribombee",NA,"Not final evolution"
"Cyclizar","Colorless","Basic",1,"Cyclizar_Colorless",NA,NA,"Final evolution"
"Darkrai","Darkness","Basic",1,"Darkrai_Darkness",NA,NA,"Final evolution"
"Darumaka","Fire","Basic",2,"Darumaka_Fire","Darmanitan",NA,"Not final evolution"
"Dedenne","Fairy","Basic",1,"Dedenne_Fairy",NA,NA,"Final evolution"
"Dedenne","Psychic","Basic",2,"Dedenne_Psychic",NA,NA,"Final evolution"
