"Name","Type","Level","Evolves_to","Evolves_from","Name_type","Times_appeared","Final_stage"
"Aegislash","Metal","Stage 2",NA,"Doublade","Aegislash_Metal",1,"Final evolution"
"Alakazam","Psychic","Stage 2",NA,"Kadabra","Alakazam_Psychic",1,"Final evolution"
"Ampharos","Lightning","Stage 2",NA,"Flaaffy","Ampharos_Lightning",1,"Final evolution"
"Bellossom","Grass","Stage 2",NA,"Gloom","Bellossom_Grass",1,"Final evolution"
"Chandelure","Fire","Stage 2",NA,"Lampent","Chandelure_Fire",1,"Final evolution"
"Charizard","Fire","Stage 2",NA,"Charmeleon","Charizard_Fire",1,"Final evolution"
"Crobat","Darkness","Stage 2",NA,"Golbat","Crobat_Darkness",1,"Final evolution"
"Crustle","Grass","Stage 1",NA,"Dwebble","Crustle_Grass",1,"Final evolution"
"Eelektross","Lightning","Stage 2",NA,"Eelektrik","Eelektross_Lightning",1,"Final evolution"
"Exploud","Colorless","Stage 2",NA,"Loudred","Exploud_Colorless",1,"Final evolution"
"Feraligatr","Water","Stage 2",NA,"Croconaw","Feraligatr_Water",1,"Final evolution"
"Florges","Psychic","Stage 2",NA,"Floette","Florges_Psychic",1,"Final evolution"
"Gardevoir","Psychic","Stage 2",NA,"Kirlia","Gardevoir_Psychic",1,"Final evolution"
"Hisuian Samurott","Darkness","Stage 2",NA,"Dewott","Hisuian Samurott_Darkness",1,"Final evolution"
"Hisuian Goodra","Dragon","Stage 2",NA,"Hisuian Sliggoo","Hisuian Goodra_Dragon",1,"Final evolution"
"Incineroar","Fire","Stage 2",NA,"Torracat","Incineroar_Fire",1,"Final evolution"
"Infernape","Fire","Stage 2",NA,"Monferno","Infernape_Fire",1,"Final evolution"
"Magnezone","Lightning","Stage 2",NA,"Magneton","Magnezone_Lightning",1,"Final evolution"
"Orbeetle","Grass","Stage 2",NA,"Dottler","Orbeetle_Grass",1,"Final evolution"
"Porygon-Z","Colorless","Stage 2",NA,"Porygon2","Porygon-Z_Colorless",1,"Final evolution"
"Quaquaval","Water","Stage 2",NA,"Quaxwell","Quaquaval_Water",1,"Final evolution"
"Samurott","Water","Stage 2",NA,"Dewott","Samurott_Water",1,"Final evolution"
"Stoutland","Colorless","Stage 2",NA,"Herdier","Stoutland_Colorless",1,"Final evolution"
"Talonflame","Fire","Stage 2",NA,"Fletchinder","Talonflame_Fire",1,"Final evolution"
"Talonflame","Colorless","Stage 2",NA,"Fletchinder","Talonflame_Colorless",1,"Final evolution"
"Togekiss","Psychic","Stage 2",NA,"Togetic","Togekiss_Psychic",1,"Final evolution"
"Torterra","Grass","Stage 2",NA,"Grotle","Torterra_Grass",1,"Final evolution"
"Toucannon","Colorless","Stage 2",NA,"Trumbeak","Toucannon_Colorless",1,"Final evolution"
"Tsareena","Grass","Stage 2",NA,"Steenee","Tsareena_Grass",1,"Final evolution"
"Unfezant","Colorless","Stage 2",NA,"Tranquill","Unfezant_Colorless",1,"Final evolution"
"Vanilluxe","Water","Stage 2",NA,"Vanillish","Vanilluxe_Water",1,"Final evolution"
"Venusaur","Grass","Stage 2",NA,"Ivysaur","Venusaur_Grass",1,"Final evolution"
"Vikavolt","Lightning","Stage 2",NA,"Charjabug","Vikavolt_Lightning",1,"Final evolution"
"Vileplume","Grass","Stage 2",NA,"Gloom","Vileplume_Grass",1,"Final evolution"
"Vivillon","Grass","Stage 2",NA,"Spewpa","Vivillon_Grass",1,"Final evolution"
