Quantity,Name,Simple Name,Set,Card Number,Set Code,Printing,Condition,Language,Rarity,Product ID,SKU
1,Alolan Grimer,Alolan Grimer,SM - Team Up,83/181,SM9,Normal,Near Mint,English,Common,183861,3963164
1,Araquanid,Araquanid,SWSH12: Silver Tempest,048/195,SWSH12,Normal,Near Mint,English,Uncommon,451696,6670632
1,Aron,Aron,SM - Unbroken Bonds,123/214,SM10,Normal,Near Mint,English,Common,189222,4009433
1,Azumarill,Azumarill,SV02: Paldea Evolved,045/193,SV02,Normal,Near Mint,English,Uncommon,497456,7158423
1,Baltoy,Baltoy,SWSH05: Battle Styles,057/163,SWSH05,Normal,Near Mint,English,Common,234223,4821814
13,Basic Darkness Energy,Basic Darkness Energy,SV01: Scarlet & Violet Base Set,007,SV1,Normal,Near Mint,English,Common,475431,6909956
9,Basic Fire Energy,Basic Fire Energy,SV01: Scarlet & Violet Base Set,002,SV1,Normal,Near Mint,English,Common,475426,6909906
13,Basic Grass Energy,Basic Grass Energy,SV01: Scarlet & Violet Base Set,001,SV1,Normal,Near Mint,English,Common,475425,6909896
13,Basic Lightning Energy,Basic Lightning Energy,SV01: Scarlet & Violet Base Set,004,SV1,Normal,Near Mint,English,Common,475428,6909926
10,Basic Metal Energy,Basic Metal Energy,SV01: Scarlet & Violet Base Set,008,SV1,Normal,Near Mint,English,Common,475432,6909966
12,Basic Psychic Energy,Basic Psychic Energy,SV01: Scarlet & Violet Base Set,005,SV1,Normal,Near Mint,English,Common,475429,6909936
10,Basic Water Energy,Basic Water Energy,SV01: Scarlet & Violet Base Set,003,SV1,Normal,Near Mint,English,Common,475427,6909916
1,Beheeyem,Beheeyem,SWSH12: Silver Tempest,080/195,SWSH12,Normal,Near Mint,English,Uncommon,451734,6670947
1,Blissey,Blissey,SV01: Scarlet & Violet Base Set,145/198,SV1,Normal,Near Mint,English,Uncommon,488033,7025360
1,Blitzle,Blitzle,SM - Team Up,44/181,SM9,Normal,Near Mint,English,Common,183819,3962779
1,Buneary,Buneary,SWSH12: Silver Tempest,144/195,SWSH12,Normal,Near Mint,English,Common,451794,6671517
1,Cacnea,Cacnea,SWSH05: Battle Styles,004/163,SWSH05,Normal,Near Mint,English,Common,234040,4816229
1,Cetitan - 055/193,Cetitan,SV02: Paldea Evolved,055/193,SV02,Normal,Near Mint,English,Uncommon,497466,7158473
1,Cetoddle - 059/198,Cetoddle,SV01: Scarlet & Violet Base Set,059/198,SV1,Normal,Near Mint,English,Common,487910,7024615
1,Charmander,Charmander,Hidden Fates,7/68,HIF,Normal,Near Mint,English,Common,197649,4169107
1,Charmeleon - 8/68 (#15 Charizard Stamped),Charmeleon,Battle Academy,008/068,BTA,Normal,Near Mint,English,Rare,219051,4514100
1,Clauncher - 049/198,Clauncher,SV01: Scarlet & Violet Base Set,049/198,SV1,Normal,Near Mint,English,Common,487895,7024548
1,Clefairy,Clefairy,SWSH11: Lost Origin,062/196,SWSH11,Normal,Near Mint,English,Common,283936,5786282
1,Combee,Combee,SV02: Paldea Evolved,008/193,SV02,Normal,Near Mint,English,Common,497419,7158238
1,Corphish,Corphish,SWSH05: Battle Styles,038/163,SWSH05,Normal,Near Mint,English,Common,234174,4819879
1,Cosmog,Cosmog,SM - Team Up,69/181,SM9,Normal,Near Mint,English,Common,183847,3963029
3,Croagunk,Croagunk,SWSH12: Silver Tempest,109/195,SWSH12,Normal,Near Mint,English,Common,451763,6671222
1,Darumaka,Darumaka,SM - Unbroken Bonds,23/214,SM10,Normal,Near Mint,English,Common,189066,4008188
1,Dolliv - 022/198,Dolliv,SV01: Scarlet & Violet Base Set,022/198,SV1,Normal,Near Mint,English,Common,487859,7024368
1,Drednaw,Drednaw,SWSH08: Fusion Strike,081/264,SWSH08,Normal,Near Mint,English,Uncommon,253235,5265900
1,Drilbur,Drilbur,SWSH08: Fusion Strike,147/264,SWSH08,Normal,Near Mint,English,Common,253361,5266945
2,Drowzee,Drowzee,SWSH12: Silver Tempest,060/195,SWSH12,Normal,Near Mint,English,Common,451714,6670767
1,Ducklett,Ducklett,SWSH11: Lost Origin,046/196,SWSH11,Normal,Near Mint,English,Common,283920,5786202
1,Eelektrik,Eelektrik,SWSH11: Lost Origin,060/196,SWSH11,Normal,Near Mint,English,Uncommon,283934,5786272
1,Eevee,Eevee,SWSH08: Fusion Strike,205/264,SWSH08,Normal,Near Mint,English,Common,253300,5266465
1,Eiscue - 048/193,Eiscue,SV02: Paldea Evolved,048/193,SV02,Normal,Near Mint,English,Uncommon,497459,7158438
1,Electabuzz,Electabuzz,SWSH05: Battle Styles,044/163,SWSH05,Normal,Near Mint,English,Common,234192,4820479
1,Electrike,Electrike,SWSH11: Lost Origin,054/196,SWSH11,Normal,Near Mint,English,Common,283928,5786242
1,Espathra,Espathra,SV01: Scarlet & Violet Base Set,103/198,SV1,Normal,Near Mint,English,Uncommon,487978,7024952
1,Espurr,Espurr,SWSH05: Battle Styles,060/163,SWSH05,Normal,Near Mint,English,Common,234232,4821889
