Data
Arctibax < Baxcalibur Lv. 54
Arrokuda < Barraskewda Lv. 26
Axew < Fraxure Lv. 38
Bagon < Shelgon Lv. 30
Barboach < Whiscash Lv. 30
Bergmite < Avalugg Lv. 37
Bounsweet < Steenee Lv. 18
Bronzor < Bronzong Lv. 33
Buizel < Floatzel Lv. 26
Cacnea < Cacturne Lv. 32
Carkol < Coalossal Lv. 34
Chewtle < Drednaw Lv. 22
Clauncher < Clawitzer Lv. 37
Combee < Vespiquen Lv. 21
Corvisquire < Corviknight Lv. 38
Croagunk < Toxicroak Lv. 37
Crocalor < Skeledirge Lv. 36
Cubchoo < Beartic Lv. 37
Cufant < Copperajah Lv. 34
Deerling < Sawsbuck Lv. 34
Deino < Zweilous Lv. 50
Diglett < Dugtrio Lv. 26
Dolliv < Arboliva Lv. 35
Dragonair < Dragonite Lv. 55
Drakloak < Dragapult Lv. 60
Dratini < Dragonair Lv. 30
Dreepy < Drakloak Lv. 50
Drifloon < Drifblim Lv. 28
Drowzee < Hypno Lv. 26
Fidough < Dachsbun Lv. 26
Finizen < Palafin Lv. 38
Finneon < Lumineon Lv. 31
Flaaffy < Ampharos Lv. 30
Flabebe < Floette Lv. 19
Fletchinder < Talonflame Lv. 35
Fletchling < Fletchinder Lv. 17
Flittle < Espathra Lv. 35
Floragato < Meowscarada Lv. 36
Fomantis < Lurantis Lv. 34
Foongus < Amoonguss Lv. 39
Fraxure < Haxorus Lv. 48
Frigibax < Arctibax Lv. 35
Fuecoco < Crocalor Lv. 16
Gabite < Garchomp Lv. 48
Gastly < Haunter Lv. 25
Gible < Gabite Lv. 24
Glimmet < Glimmora Lv. 35
Goomy < Sliggoo Lv. 40
Gothita < Gothorita Lv. 32
Gothorita < Gothitelle Lv. 41
Greavard < Houndstone Lv. 30
Grimer < Muk Lv. 38
Gulpin < Swalot Lv. 26
Hatenna < Hattrem Lv. 32
Hattrem < Hatterene Lv. 42
Hippopotas < Hippowdon Lv. 34
Hoppip < Skiploom Lv. 18
Houndour < Houndoom Lv. 24
Impidimp < Morgrem Lv. 32
Kirlia < Gardevoir Lv. 30
Kricketot < Kricketune Lv. 10
Krokorok < Krookodile Lv. 40
Larvesta < Volcarona Lv. 59
Larvitar < Pupitar Lv. 30
Lechonk < Oinkologne (Female) Lv. 18
Lechonk < Oinkologne (Male) Lv. 18
Litleo < Pyroar Lv. 35
Luxio < Luxray Lv. 30
Magikarp < Gyarados Lv. 20
Magnemite < Magneton Lv. 30
Makuhita < Hariyama Lv. 24
Mankey < Primeape Lv. 28
Mareanie < Toxapex Lv. 38
Mareep < Flaaffy Lv. 15
Marill < Azumarill Lv. 18
Maschiff < Mabosstiff Lv. 30
Meditite < Medicham Lv. 37
Meowth < Persian Lv. 28
Morgrem < Grimmsnarl Lv. 42
Mudbray < Mudsdale Lv. 30
Nacli < Naclstack Lv. 24
Naclstack < Garganacl Lv. 38
Noibat < Noivern Lv. 48
Numel < Camerupt Lv. 33
Nymble < Lokix Lv. 24
Paldean Wooper < Clodsire Lv. 20
Pawmi < Pawmo Lv. 18
Pawniard < Bisharp Lv. 52
Phanpy < Donphan Lv. 25
Pineco < Forretress Lv. 31
Psyduck < Golduck Lv. 33
Pupitar < Tyranitar Lv. 55
Quaxly < Quaxwell Lv. 16
Quaxwell < Quaquaval Lv. 36
Ralts < Kirlia Lv. 20
Rockruff < Lycanroc (Dusk Form) Lv. 25
Rockruff < Lycanroc (Midday Form) Lv. 25
Rockruff < Lycanroc (Midnight Form) Lv. 25
Rolycoly < Carkol Lv. 18
Rookidee < Corvisquire Lv. 18
Rufflet < Braviary Lv. 54
Salandit < Salazzle Lv. 33 Female
Sandile < Krokorok Lv. 29
Sandygast < Palossand Lv. 42
Scatterbug < Spewpa Lv. 9
Shelgon < Salamence Lv. 50
Shinx < Luxio Lv. 15
Shroodle < Grafaiai Lv. 28
Shroomish < Breloom Lv. 23
Shuppet < Banette Lv. 37
Silicobra < Sandaconda Lv. 36
Skiddo < Gogoat Lv. 32
Skiploom < Jumpluff Lv. 27
Skrelp < Dragalge Lv. 48
Skwovet < Greedent Lv. 24
Slakoth < Vigoroth Lv. 18
Sliggoo < Goodra Lv. 50
Slowpoke < Slowbro Lv. 37
Smoliv < Dolliv Lv. 25
Snorunt < Glalie Lv. 42
Snover < Abomasnow Lv. 40
Spewpa < Vivillon Lv. 12
Spoink < Grumpig Lv. 32
Sprigatito < Floragato Lv. 16
Staravia < Staraptor Lv. 34
Starly < Staravia Lv. 14
Stunky < Skuntank Lv. 34
Surskit < Masquerain Lv. 22
Swablu < Altaria Lv. 35
Tarountula < Spidops Lv. 15
Teddiursa < Ursaring Lv. 30
Tinkatink < Tinkatuff Lv. 24
Tinkatuff < Tinkaton Lv. 38
Toxel < Toxtricity (Low Key Form) Lv. 30
Toxel < Toxtricity (Amped Form) Lv. 30
Tynamo < Eelektrik Lv. 39
Varoom < Revavroom Lv. 40
Venonat < Venomoth Lv. 31
Vigoroth < Slaking Lv. 36
Voltorb < Electrode Lv. 30
Wattrel < Kilowattrel Lv. 25
Wiglett < Wugtrio Lv. 26
Wingull < Pelipper Lv. 25
Yungoos < Gumshoos Lv. 20
Zorua < Zoroark Lv. 30
Zweilous < Hydreigon Lv. 64
